Delta,Theta1,Theta2,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Alpha_Ratio,Theta_Ratio,Shannon_Entropy,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Spatial_Complexity
5.7413594085853066e-08,5.699477762623117e-09,3.178195875683597e-09,1.8446366307389757e-09,2.652826096123773e-09,6.458224067451736e-10,2.384248120361577e-10,9.030117790719032e-11,3.33656320166384e-11,0.06264081167917178,0.12364853614122893,7.215932134738007,7.209271845240505e-10,0.06143849332273287,0.8931442691371616,0.0
9.577620378239441e-08,6.921702199627654e-09,2.961511087732265e-09,1.6350692564349415e-09,2.2315209148456715e-09,5.434599530120162e-10,2.0113135024236953e-10,8.153168108972844e-11,2.934412595023845e-11,0.035029022442221135,0.08953607305361967,7.3600684556172284,1.0091953130169026e-09,0.04282584678502015,0.6739155807046282,0.0
7.005905017250127e-08,6.314449486898308e-09,4.04790711785491e-09,2.790722459645933e-09,2.1894732940567446e-09,5.927557119718902e-10,2.1140097879176244e-10,8.393022251048069e-11,2.8262620210298707e-11,0.05769527588778768,0.12004729386678813,7.256713612554634,8.422089884519061e-10,0.048819080077265375,0.6579339087529342,0.0
5.7197953484342864e-08,5.3983027648457086e-09,2.660280066960002e-09,1.680132536289718e-09,1.9847171316488075e-09,6.265896049038169e-10,2.433651260477081e-10,8.13263564951506e-11,2.99941613184379e-11,0.05242714906921323,0.11528126981735923,7.458408316310214,1.035641861007008e-09,0.051990737606690846,0.9161656692313714,0.0
8.744654029302034e-08,7.210382093142768e-09,2.655132466757612e-09,2.333145992938108e-09,1.893361803088815e-09,6.199731045117189e-10,2.297055501033081e-10,9.25688719789976e-11,2.6577436065829628e-11,0.04123084846520731,0.09624104709635743,7.33967308038652,9.433227486084945e-10,0.04963751761031941,0.769072805836145,0.0
7.520610685401314e-08,6.342245357705693e-09,2.2496238759174065e-09,1.970927406444017e-09,2.051701343819767e-09,5.507495044162583e-10,2.2056357284922457e-10,7.761449809361988e-11,2.9285421406874255e-11,0.04535103733540752,0.09686456458837497,7.30902606941801,8.382995725763507e-10,0.04656197753205431,0.6599824336427814,0.0
8.37131679795249e-08,7.2477319516751065e-09,2.0630181752146604e-09,2.611291632321456e-09,2.399331764422207e-09,6.298359322641119e-10,2.3930054333909065e-10,8.890037332132135e-11,3.109350192810824e-11,0.05059974754706253,0.09402454916100424,7.534716717609616,1.1623420985984353e-09,0.04124203006283547,0.62994589074347,0.0
8.187029609817715e-08,5.721671236194919e-09,2.080231191714074e-09,1.9114344546954887e-09,1.8158060809953056e-09,5.049807984033461e-10,2.3139164280927863e-10,8.820739492355625e-11,2.8522604378543474e-11,0.03954483275941596,0.08277569525299269,7.368793372756349,9.804974173032373e-10,0.04385005948972453,0.6823193909173632,0.0
8.742562275107895e-08,5.691724639960823e-09,2.705025353881485e-09,1.7998579704252317e-09,1.587171224001981e-09,4.953485414304767e-10,1.96368119570074e-10,7.947624564343233e-11,2.776853179442314e-11,0.03386712083780254,0.08395963848028368,7.257271477492192,9.262300103419078e-10,0.04378739482540921,0.6848872130986263,0.0
1.0605551804678666e-07,6.135672481335152e-09,2.701592873510016e-09,2.0048918190561227e-09,1.2660373015882896e-09,5.450480403177244e-10,2.0404599992842903e-10,8.560268106219969e-11,2.751943657761326e-11,0.027480580713241293,0.07424593285601634,7.308051390694471,1.3535768018110297e-09,0.036611286856936646,0.6516101762371577,0.0
